Output,Features Combination,Accuracy,f1score,presicion,recall
Explosive,Complexity,0.9640606407826892,0.0,0.0,0.0
Explosive,XLogP3,0.8310563659600723,0.0005214444009907443,0.0002620888481195125,0.05
Explosive,Monoisotopic_Mass,0.9476224053589529,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area,0.9663082279317792,0.00520494469746259,0.0026720106880427524,0.1
Explosive,Exact_Mass,0.9474020536776696,0.0,0.0,0.0
Explosive,Molecular_Weight,0.9474240888457979,0.0,0.0,0.0
Explosive,Hydrogen_Bond_Acceptor_Count,0.9455070292186329,0.0032245062474808546,0.0016386726751331422,0.1
Explosive,Complexity_XLogP3,0.8341192543299105,0.0005310674455655868,0.00026695141484249865,0.05
Explosive,Complexity_Monoisotopic_Mass,0.99841346789476,0.0,0.0,0.0
Explosive,Complexity_Topological_Polar_Surface_Area,0.9671455643206558,0.0013395847287340924,0.0006882312456985547,0.025
Explosive,Complexity_Exact_Mass,0.99841346789476,0.0,0.0,0.0
Explosive,Complexity_Molecular_Weight,0.99841346789476,0.0,0.0,0.0
Explosive,Complexity_Hydrogen_Bond_Acceptor_Count,0.9571856683266493,0.0010282776349614395,0.0005249343832020997,0.025
Explosive,XLogP3_Monoisotopic_Mass,0.8177691595786876,0.0007249879168680521,0.0003642544924720738,0.075
Explosive,XLogP3_Topological_Polar_Surface_Area,0.8233440571151558,0.00224019912881145,0.001125703564727955,0.225
Explosive,XLogP3_Exact_Mass,0.8178132299149442,0.0007251631617113851,0.0003643429681807141,0.075
Explosive,XLogP3_Molecular_Weight,0.9990965581067384,0.0,0.0,0.0
Explosive,XLogP3_Hydrogen_Bond_Acceptor_Count,0.9501564496937112,0.003524229074889868,0.0017937219730941704,0.1
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area,0.959411220307611,0.004324324324324324,0.0022099447513812156,0.1
Explosive,Monoisotopic_Mass_Exact_Mass,0.9476003701908245,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Molecular_Weight,0.9476224053589529,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9507734344013045,0.0017873100983020554,0.0009099181073703367,0.05
Explosive,Topological_Polar_Surface_Area_Exact_Mass,0.9990965581067384,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area_Molecular_Weight,0.9595213961482526,0.004336043360433604,0.00221606648199446,0.1
Explosive,Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9542990613018377,0.0038424591738712775,0.0019588638589618022,0.1
Explosive,Exact_Mass_Molecular_Weight,0.9474681591820545,0.0,0.0,0.0
Explosive,Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9508175047375611,0.0017889087656529517,0.0009107468123861566,0.05
Explosive,Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9508395399056895,0.0017897091722595079,0.0009111617312072893,0.05
Explosive,Complexity_XLogP3_Monoisotopic_Mass,0.8696840156890397,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area,0.9985897492397867,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Exact_Mass,0.8695738398483981,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Molecular_Weight,0.8695518046802697,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Hydrogen_Bond_Acceptor_Count,0.9559516989114627,0.0009995002498750624,0.0005099439061703213,0.025
Explosive,Complexity_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9624520735093208,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass_Exact_Mass,0.9544753426468644,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass_Molecular_Weight,0.9544312723106078,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9554228548763827,0.0009876543209876543,0.0005037783375314861,0.025
Explosive,Complexity_Topological_Polar_Surface_Area_Exact_Mass,0.9624520735093208,0.0,0.0,0.0
Explosive,Complexity_Topological_Polar_Surface_Area_Molecular_Weight,0.9626503900224759,0.0,0.0,0.0
Explosive,Complexity_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9601824511921025,0.004407713498622589,0.0022535211267605635,0.1
Explosive,Complexity_Exact_Mass_Molecular_Weight,0.9544312723106078,0.0,0.0,0.0
Explosive,Complexity_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9554228548763827,0.0009876543209876543,0.0005037783375314861,0.025
Explosive,Complexity_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9554008197082544,0.0009871668311944718,0.0005035246727089627,0.025
Explosive,XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9609536820765943,0.0044943820224719105,0.0022988505747126436,0.1
Explosive,XLogP3_Monoisotopic_Mass_Exact_Mass,0.8601427878894716,0.00031501023783272954,0.0001585037248375337,0.025
Explosive,XLogP3_Monoisotopic_Mass_Molecular_Weight,0.8602749988982415,0.00031530821377896896,0.00015865460891638903,0.025
Explosive,XLogP3_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9498479573399145,0.0017543859649122807,0.0008928571428571428,0.05
Explosive,XLogP3_Topological_Polar_Surface_Area_Exact_Mass,0.9609536820765943,0.0044943820224719105,0.0022988505747126436,0.1
Explosive,XLogP3_Topological_Polar_Surface_Area_Molecular_Weight,0.9610197875809793,0.004501969611705121,0.002302820955670697,0.1
Explosive,XLogP3_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9542990613018377,0.0038424591738712775,0.0019588638589618022,0.1
Explosive,XLogP3_Exact_Mass_Molecular_Weight,0.8596139438543916,0.00031382394476698575,0.00015790304752881732,0.025
Explosive,XLogP3_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9498479573399145,0.0017543859649122807,0.0008928571428571428,0.05
Explosive,XLogP3_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9498699925080428,0.0017551557700745941,0.0008932559178204555,0.05
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area_Exact_Mass,0.9576484068573443,0.0020768431983385254,0.0010604453870625664,0.05
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area_Molecular_Weight,0.9576704420254727,0.002077922077922078,0.0010610079575596816,0.05
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.955378784540126,0.003935071323167732,0.002007024586051179,0.1
Explosive,Monoisotopic_Mass_Exact_Mass_Molecular_Weight,0.9476224053589529,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9504649420475079,0.0017761989342806395,0.0009041591320072332,0.05
Explosive,Monoisotopic_Mass_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9503988365431228,0.0017738359201773836,0.0009029345372460496,0.05
Explosive,Topological_Polar_Surface_Area_Exact_Mass_Molecular_Weight,0.9576484068573443,0.0020768431983385254,0.0010604453870625664,0.05
Explosive,Topological_Polar_Surface_Area_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9555771010532811,0.003952569169960474,0.0020161290322580645,0.1
Explosive,Topological_Polar_Surface_Area_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.955378784540126,0.003935071323167732,0.002007024586051179,0.1
Explosive,Exact_Mass_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9504429068793795,0.001775410563692854,0.0009037505648441031,0.05
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9984795733991451,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Exact_Mass,0.9984355030628884,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Molecular_Weight,0.9984355030628884,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.954849940505046,0.0009751340809361287,0.0004972650422675286,0.025
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area_Exact_Mass,0.9984795733991451,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area_Molecular_Weight,0.9984795733991451,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9601383808558459,0.004402861860209136,0.0022509848058525606,0.1
