Output,Features Combination,Accuracy,f1score,presicion,recall
nan,Complexity,0.7945000220351681,0.1085834448480214,0.5008818342151675,0.060891938250428816
nan,XLogP3,0.7969459256974131,0.0918498078249729,0.568986568986569,0.04995711835334477
nan,Monoisotopic_Mass,0.796747609184258,0.2120280198188963,0.5218671152228763,0.1330403087478559
nan,Topological_Polar_Surface_Area,0.7964831871667181,0.1492262343404569,0.5301047120418848,0.08683533447684391
nan,Exact_Mass,0.7974747697324931,0.21758746914105728,0.5283174865646961,0.13700686106346482
nan,Molecular_Weight,0.7953373584240447,0.19612255495932146,0.5089847259658581,0.1214622641509434
nan,Hydrogen_Bond_Acceptor_Count,0.7917896963553832,0.1069842169927228,0.45171588188347966,0.06067753001715266
nan,Complexity_XLogP3,0.801374994491208,0.20342877341816895,0.5789738430583501,0.12339193825042882
nan,Complexity_Monoisotopic_Mass,0.7954034639284298,0.1593481213218651,0.512521840419336,0.09433962264150944
nan,Complexity_Topological_Polar_Surface_Area,0.7992155480146313,0.21758543705993474,0.5465918895599655,0.13582761578044597
nan,Complexity_Exact_Mass,0.7949186902296065,0.1576613268169065,0.5061011040092969,0.09337478559176672
nan,Complexity_Molecular_Weight,0.7957119562822265,0.15863508485343497,0.5168539325842697,0.09369639794168096
nan,Complexity_Hydrogen_Bond_Acceptor_Count,0.7961526596447931,0.16829991908657735,0.5214484679665738,0.10034305317324185
nan,XLogP3_Monoisotopic_Mass,0.7974086642281081,0.20287844633258192,0.5303717135086129,0.12542881646655232
nan,XLogP3_Topological_Polar_Surface_Area,0.800052884403508,0.2531687242798354,0.5450035435861091,0.16487993138936535
nan,XLogP3_Exact_Mass,0.7983121061213697,0.2051237516283109,0.5400091449474166,0.12660806174957118
nan,XLogP3_Molecular_Weight,0.7974306993962363,0.2019272506293949,0.5308078502966682,0.12467838765008576
nan,XLogP3_Hydrogen_Bond_Acceptor_Count,0.798598563307038,0.19414565332392877,0.5466732869910625,0.11803173241852487
nan,Monoisotopic_Mass_Topological_Polar_Surface_Area,0.7999647437309947,0.21443406022845274,0.5561041292639138,0.13282590051457976
nan,Monoisotopic_Mass_Exact_Mass,0.796350976157948,0.2157162253903598,0.5175081433224755,0.1362564322469983
nan,Monoisotopic_Mass_Molecular_Weight,0.7948525847252215,0.22209224598930483,0.5034090909090909,0.14247427101200685
nan,Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.7958000969547397,0.216453876722753,0.5122048819527811,0.137221269296741
nan,Topological_Polar_Surface_Area_Exact_Mass,0.799722356881583,0.2147732181425486,0.5531820204717401,0.1332547169811321
nan,Topological_Polar_Surface_Area_Molecular_Weight,0.799722356881583,0.21761212016871825,0.5522062035823504,0.13550600343053174
nan,Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.7960645189722798,0.2583540347784278,0.511583624246271,0.17281303602058318
