Output,Features Combination,Accuracy,f1score,presicion,recall
Explosive,Complexity,0.9991185932748667,0.0,0.0,0.0
Explosive,XLogP3,0.9991185932748667,0.0,0.0,0.0
Explosive,Monoisotopic_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area,0.99881010092107,0.0,0.0,0.0
Explosive,Exact_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Hydrogen_Bond_Acceptor_Count,0.999008417434225,0.0,0.0,0.0
Explosive,Complexity_XLogP3,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_Topological_Polar_Surface_Area,0.9983032920541184,0.0,0.0,0.0
Explosive,Complexity_Exact_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_Hydrogen_Bond_Acceptor_Count,0.9986778899123,0.0,0.0,0.0
Explosive,XLogP3_Monoisotopic_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,XLogP3_Topological_Polar_Surface_Area,0.99881010092107,0.0,0.0,0.0
Explosive,XLogP3_Exact_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,XLogP3_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,XLogP3_Hydrogen_Bond_Acceptor_Count,0.9989423119298401,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9987880657529417,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Exact_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9990524877704817,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area_Exact_Mass,0.9987880657529417,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area_Molecular_Weight,0.9987880657529417,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9987660305848134,0.0,0.0,0.0
Explosive,Exact_Mass_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9990524877704817,0.0,0.0,0.0
Explosive,Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9990524877704817,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area,0.9979066590278084,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Exact_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Hydrogen_Bond_Acceptor_Count,0.9986999250804284,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9984355030628884,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass_Exact_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9987660305848134,0.0,0.0,0.0
Explosive,Complexity_Topological_Polar_Surface_Area_Exact_Mass,0.9984355030628884,0.0,0.0,0.0
Explosive,Complexity_Topological_Polar_Surface_Area_Molecular_Weight,0.9984355030628884,0.0,0.0,0.0
Explosive,Complexity_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9982371865497334,0.0,0.0,0.0
Explosive,Complexity_Exact_Mass_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9987660305848134,0.0,0.0,0.0
Explosive,Complexity_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9987660305848134,0.0,0.0,0.0
Explosive,XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9988321360891984,0.0,0.0,0.0
Explosive,XLogP3_Monoisotopic_Mass_Exact_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,XLogP3_Monoisotopic_Mass_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,XLogP3_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.999008417434225,0.0,0.0,0.0
Explosive,XLogP3_Topological_Polar_Surface_Area_Exact_Mass,0.9988321360891984,0.0,0.0,0.0
Explosive,XLogP3_Topological_Polar_Surface_Area_Molecular_Weight,0.9988321360891984,0.0,0.0,0.0
Explosive,XLogP3_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9987660305848134,0.0,0.0,0.0
Explosive,XLogP3_Exact_Mass_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,XLogP3_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.999008417434225,0.0,0.0,0.0
Explosive,XLogP3_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.999008417434225,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area_Exact_Mass,0.9987880657529417,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area_Molecular_Weight,0.9987880657529417,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9987880657529417,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Exact_Mass_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9990304526023533,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9990304526023533,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area_Exact_Mass_Molecular_Weight,0.9987880657529417,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9987880657529417,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9987880657529417,0.0,0.0,0.0
Explosive,Exact_Mass_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9990304526023533,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9981049755409633,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Exact_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.998743995416685,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area_Exact_Mass,0.9981049755409633,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area_Molecular_Weight,0.9981049755409633,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.997818518355295,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Exact_Mass_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.998743995416685,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.998743995416685,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass_Topological_Polar_Surface_Area_Exact_Mass,0.9984795733991451,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass_Topological_Polar_Surface_Area_Molecular_Weight,0.9984795733991451,0.0,0.0,0.0
