Output,Features Combination,Accuracy,f1score,presicion,recall
Acute Toxic,Complexity,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,XLogP3,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Monoisotopic_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Topological_Polar_Surface_Area,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Exact_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_XLogP3,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Monoisotopic_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Topological_Polar_Surface_Area,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Exact_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,XLogP3_Monoisotopic_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,XLogP3_Topological_Polar_Surface_Area,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,XLogP3_Exact_Mass,0.9363624344453748,0.0,0.0,0.0
Acute Toxic,XLogP3_Molecular_Weight,0.9363624344453748,0.0,0.0,0.0
Acute Toxic,XLogP3_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Monoisotopic_Mass_Exact_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Monoisotopic_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Topological_Polar_Surface_Area_Exact_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Topological_Polar_Surface_Area_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Exact_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_XLogP3_Monoisotopic_Mass,0.9363183641091182,0.010951403148528405,0.45714285714285713,0.005542085209560097
Acute Toxic,Complexity_XLogP3_Topological_Polar_Surface_Area,0.9365827861266581,0.014383561643835616,0.6363636363636364,0.007273986837547627
Acute Toxic,Complexity_XLogP3_Exact_Mass,0.9360980124278349,0.008207934336525308,0.32432432432432434,0.004156563907170073
Acute Toxic,Complexity_XLogP3_Molecular_Weight,0.9364946454541448,0.006206896551724138,0.6923076923076923,0.0031174229303775544
Acute Toxic,Complexity_XLogP3_Hydrogen_Bond_Acceptor_Count,0.9362963289409898,0.02561509942703067,0.475,0.013162452372705231
Acute Toxic,Complexity_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Monoisotopic_Mass_Exact_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Monoisotopic_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9363403992772464,0.0,0.0,0.0
Acute Toxic,Complexity_Topological_Polar_Surface_Area_Exact_Mass,0.9363624344453748,0.004137931034482759,0.46153846153846156,0.0020782819535850364
Acute Toxic,Complexity_Topological_Polar_Surface_Area_Molecular_Weight,0.9364505751178881,0.0020761245674740486,1.0,0.0010391409767925182
Acute Toxic,Complexity_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9364285399497598,0.0013845621322256837,1.0,0.0006927606511950121
Acute Toxic,Complexity_Exact_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9363403992772464,0.0,0.0,0.0
Acute Toxic,Complexity_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9363403992772464,0.0,0.0,0.0
Acute Toxic,XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9364285399497598,0.004142216085605799,0.6,0.0020782819535850364
Acute Toxic,XLogP3_Monoisotopic_Mass_Exact_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,XLogP3_Monoisotopic_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,XLogP3_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0006922810661128419,0.5,0.00034638032559750607
Acute Toxic,XLogP3_Topological_Polar_Surface_Area_Exact_Mass,0.9364946454541448,0.004834254143646409,0.7777777777777778,0.0024246622791825423
Acute Toxic,XLogP3_Topological_Polar_Surface_Area_Molecular_Weight,0.9362522586047332,0.005500171880371262,0.36363636363636365,0.0027710426047800486
Acute Toxic,XLogP3_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,XLogP3_Exact_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,XLogP3_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9364946454541448,0.005521048999309869,0.7272727272727273,0.0027710426047800486
Acute Toxic,XLogP3_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9363183641091182,0.0006915629322268327,0.2,0.00034638032559750607
Acute Toxic,Monoisotopic_Mass_Topological_Polar_Surface_Area_Exact_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Monoisotopic_Mass_Topological_Polar_Surface_Area_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Monoisotopic_Mass_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Monoisotopic_Mass_Exact_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Monoisotopic_Mass_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Monoisotopic_Mass_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Topological_Polar_Surface_Area_Exact_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Topological_Polar_Surface_Area_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Topological_Polar_Surface_Area_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9364065047816315,0.003453038674033149,0.5555555555555556,0.0017319016279875303
Acute Toxic,Exact_Mass_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.9369133136485831,0.06038726616343945,0.575,0.03186698995497056
Acute Toxic,Complexity_XLogP3_Monoisotopic_Mass_Exact_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_XLogP3_Monoisotopic_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_XLogP3_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9367811026398132,0.02910321489001692,0.6323529411764706,0.01489435400069276
Acute Toxic,Complexity_XLogP3_Topological_Polar_Surface_Area_Exact_Mass,0.9372438411705082,0.05256154357950765,0.6638655462184874,0.027364045722202978
Acute Toxic,Complexity_XLogP3_Topological_Polar_Surface_Area_Molecular_Weight,0.9368912784804548,0.05665349143610013,0.5771812080536913,0.02978870800138552
Acute Toxic,Complexity_XLogP3_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9366268564629148,0.01574264202600958,0.6571428571428571,0.00796674748874264
Acute Toxic,Complexity_XLogP3_Exact_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_XLogP3_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9365607509585299,0.007583591864874182,0.7857142857142857,0.0038101835815725666
Acute Toxic,Complexity_XLogP3_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9365607509585299,0.02965958881024604,0.55,0.015240734326290266
Acute Toxic,Complexity_Monoisotopic_Mass_Topological_Polar_Surface_Area_Exact_Mass,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Monoisotopic_Mass_Topological_Polar_Surface_Area_Molecular_Weight,0.9364065047816315,0.0006925207756232687,1.0,0.00034638032559750607
Acute Toxic,Complexity_Monoisotopic_Mass_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9363624344453748,0.003450655624568668,0.45454545454545453,0.0017319016279875303
Acute Toxic,Complexity_Monoisotopic_Mass_Exact_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Monoisotopic_Mass_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9363624344453748,0.0,0.0,0.0
Acute Toxic,Complexity_Monoisotopic_Mass_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9363844696135032,0.0,0.0,0.0
Acute Toxic,Complexity_Topological_Polar_Surface_Area_Exact_Mass_Molecular_Weight,0.9363844696135032,0.0,0.0,0.0
