Output,Features Combination,Accuracy,f1score,presicion,recall
Explosive,Complexity,0.9991185932748667,0.0,0.0,0.0
Explosive,XLogP3,0.9991185932748667,0.0,0.0,0.0
Explosive,Monoisotopic_Mass,0.998876206425455,0.03773584905660377,0.07692307692307693,0.025
Explosive,Topological_Polar_Surface_Area,0.9991185932748667,0.0,0.0,0.0
Explosive,Exact_Mass,0.9989202767617117,0.0392156862745098,0.09090909090909091,0.025
Explosive,Molecular_Weight,0.999008417434225,0.0425531914893617,0.14285714285714285,0.025
Explosive,Hydrogen_Bond_Acceptor_Count,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3,0.9990524877704817,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass,0.9990965581067384,0.046511627906976744,0.3333333333333333,0.025
Explosive,Complexity_Topological_Polar_Surface_Area,0.9990524877704817,0.0851063829787234,0.2857142857142857,0.05
Explosive,Complexity_Exact_Mass,0.9990965581067384,0.046511627906976744,0.3333333333333333,0.025
Explosive,Complexity_Molecular_Weight,0.9990965581067384,0.046511627906976744,0.3333333333333333,0.025
Explosive,Complexity_Hydrogen_Bond_Acceptor_Count,0.999008417434225,0.0,0.0,0.0
Explosive,XLogP3_Monoisotopic_Mass,0.9987219602485568,0.03333333333333333,0.05,0.025
Explosive,XLogP3_Topological_Polar_Surface_Area,0.9989643470979683,0.0784313725490196,0.18181818181818182,0.05
Explosive,XLogP3_Exact_Mass,0.9987219602485568,0.03333333333333333,0.05,0.025
Explosive,XLogP3_Molecular_Weight,0.99907452293861,0.045454545454545456,0.25,0.025
Explosive,XLogP3_Hydrogen_Bond_Acceptor_Count,0.99907452293861,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area,0.99907452293861,0.16,0.4,0.1
Explosive,Monoisotopic_Mass_Exact_Mass,0.9989202767617117,0.0392156862745098,0.09090909090909091,0.025
Explosive,Monoisotopic_Mass_Molecular_Weight,0.99907452293861,0.045454545454545456,0.25,0.025
Explosive,Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.99881010092107,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area_Exact_Mass,0.99907452293861,0.16,0.4,0.1
Explosive,Topological_Polar_Surface_Area_Molecular_Weight,0.99907452293861,0.16,0.4,0.1
Explosive,Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9991185932748667,0.0,0.0,0.0
Explosive,Exact_Mass_Molecular_Weight,0.99907452293861,0.045454545454545456,0.25,0.025
Explosive,Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9987660305848134,0.0,0.0,0.0
Explosive,Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9988321360891984,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area,0.9991626636111234,0.09523809523809523,1.0,0.05
Explosive,Complexity_XLogP3_Exact_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Hydrogen_Bond_Acceptor_Count,0.9989643470979683,0.0,0.0,0.0
Explosive,Complexity_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.99907452293861,0.045454545454545456,0.25,0.025
Explosive,Complexity_Monoisotopic_Mass_Exact_Mass,0.9990965581067384,0.046511627906976744,0.3333333333333333,0.025
Explosive,Complexity_Monoisotopic_Mass_Molecular_Weight,0.9990965581067384,0.046511627906976744,0.3333333333333333,0.025
Explosive,Complexity_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9990965581067384,0.046511627906976744,0.3333333333333333,0.025
Explosive,Complexity_Topological_Polar_Surface_Area_Exact_Mass,0.99907452293861,0.045454545454545456,0.25,0.025
Explosive,Complexity_Topological_Polar_Surface_Area_Molecular_Weight,0.9990965581067384,0.08888888888888889,0.4,0.05
Explosive,Complexity_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.999008417434225,0.11764705882352941,0.2727272727272727,0.075
Explosive,Complexity_Exact_Mass_Molecular_Weight,0.9990965581067384,0.046511627906976744,0.3333333333333333,0.025
Explosive,Complexity_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9990965581067384,0.046511627906976744,0.3333333333333333,0.025
Explosive,Complexity_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9990965581067384,0.046511627906976744,0.3333333333333333,0.025
Explosive,XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.999140628442995,0.04878048780487805,1.0,0.025
Explosive,XLogP3_Monoisotopic_Mass_Exact_Mass,0.9989863822660967,0.041666666666666664,0.125,0.025
Explosive,XLogP3_Monoisotopic_Mass_Molecular_Weight,0.999140628442995,0.04878048780487805,1.0,0.025
Explosive,XLogP3_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9990524877704817,0.0,0.0,0.0
Explosive,XLogP3_Topological_Polar_Surface_Area_Exact_Mass,0.999140628442995,0.04878048780487805,1.0,0.025
Explosive,XLogP3_Topological_Polar_Surface_Area_Molecular_Weight,0.9991185932748667,0.047619047619047616,0.5,0.025
Explosive,XLogP3_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9989643470979683,0.0784313725490196,0.18181818181818182,0.05
Explosive,XLogP3_Exact_Mass_Molecular_Weight,0.999140628442995,0.04878048780487805,1.0,0.025
Explosive,XLogP3_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9990524877704817,0.0,0.0,0.0
Explosive,XLogP3_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9990304526023533,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area_Exact_Mass,0.9990524877704817,0.12244897959183673,0.3333333333333333,0.075
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area_Molecular_Weight,0.9990524877704817,0.12244897959183673,0.3333333333333333,0.075
Explosive,Monoisotopic_Mass_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.9990304526023533,0.12,0.3,0.075
Explosive,Monoisotopic_Mass_Exact_Mass_Molecular_Weight,0.99907452293861,0.045454545454545456,0.25,0.025
Explosive,Monoisotopic_Mass_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9988321360891984,0.0,0.0,0.0
Explosive,Monoisotopic_Mass_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9990304526023533,0.0,0.0,0.0
Explosive,Topological_Polar_Surface_Area_Exact_Mass_Molecular_Weight,0.9990524877704817,0.12244897959183673,0.3333333333333333,0.075
Explosive,Topological_Polar_Surface_Area_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.9989863822660967,0.11538461538461539,0.25,0.075
Explosive,Topological_Polar_Surface_Area_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.999008417434225,0.11764705882352941,0.2727272727272727,0.075
Explosive,Exact_Mass_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.9990304526023533,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area,0.999140628442995,0.04878048780487805,1.0,0.025
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Exact_Mass,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Molecular_Weight,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Monoisotopic_Mass_Hydrogen_Bond_Acceptor_Count,0.9991185932748667,0.0,0.0,0.0
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area_Exact_Mass,0.999140628442995,0.04878048780487805,1.0,0.025
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area_Molecular_Weight,0.999140628442995,0.04878048780487805,1.0,0.025
Explosive,Complexity_XLogP3_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.999140628442995,0.13333333333333333,0.6,0.075
