output,feature combination,accuracy,model
Explosive,Complexity,0.999118593,DT
Environmental Hazard,Topological_Polar_Surface_Area,0.931470627,DT
Irritant,XLogP3_Hydrogen_Bond_Acceptor_Count,0.714776784,DT
Acute Toxic,XLogP3_Hydrogen_Bond_Acceptor_Count,0.936692962,DT
Oxidizer,XLogP3,0.998413468,DT
Compressed Gas,XLogP3_Hydrogen_Bond_Acceptor_Count,0.99867789,DT
Corrosive,Topological_Polar_Surface_Area,0.879511701,DT
Flammable,Molecular_Weight,0.961768983,DT
Health Hazard,Topological_Polar_Surface_Area,0.938213389,DT
Explosive,XLogP3,0.999118593,GBC
Environmental Hazard,Complexity_XLogP3_Topological_Polar_Surface_Area_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.932352034,GBC
Irritant,Complexity_XLogP3_Topological_Polar_Surface_Area_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.724340047,GBC
Acute Toxic,XLogP3_Topological_Polar_Surface_Area,0.936582786,GBC
Oxidizer,Complexity_Topological_Polar_Surface_Area,0.998457538,GBC
Compressed Gas,Complexity_XLogP3_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.99863382,GBC
Corrosive,XLogP3_Topological_Polar_Surface_Area,0.879754088,GBC
Flammable,Complexity_XLogP3_Topological_Polar_Surface_Area_Molecular_Weight_Hydrogen_Bond_Acceptor_Count,0.966330263,GBC
Health Hazard,Complexity_XLogP3_Topological_Polar_Surface_Area_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.938984619,GBC
Explosive,XLogP3_Molecular_Weight,0.999096558,KM
Environmental Hazard,XLogP3_Molecular_Weight,0.931404522,KM
Irritant,XLogP3,0.322440615,KM
Acute Toxic,XLogP3_Molecular_Weight,0.936362434,KM
Oxidizer,XLogP3_Molecular_Weight,0.998391433,KM
Compressed Gas,XLogP3_Molecular_Weight,0.998589749,KM
Corrosive,XLogP3_Molecular_Weight,0.877065797,KM
Flammable,XLogP3_Molecular_Weight,0.95868406,KM
Health Hazard,XLogP3_Molecular_Weight,0.938213389,KM
Explosive,Complexity,0.999118593,KNN
Environmental Hazard,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area_Hydrogen_Bond_Acceptor_Count,0.932175753,KNN
Irritant,Complexity_XLogP3_Monoisotopic_Mass_Topological_Polar_Surface_Area_Exact_Mass_Hydrogen_Bond_Acceptor_Count,0.73194218,KNN
