k,n,output,accuracy,f1score
1,1,Irritant,1.0,0.0
2,1,Irritant,1.0,0.0
3,1,Irritant,1.0,0.0
1,2,Irritant,1.0,0.0
2,2,Irritant,1.0,0.0
3,2,Irritant,1.0,0.0
1,3,Irritant,1.0,0.0
2,3,Irritant,1.0,0.0
3,3,Irritant,1.0,0.0
1,4,Irritant,1.0,0.0
2,4,Irritant,1.0,0.0
3,4,Irritant,1.0,0.0
1,5,Irritant,1.0,0.0
2,5,Irritant,1.0,0.0
3,5,Irritant,1.0,0.0
1,6,Irritant,1.0,0.0
2,6,Irritant,1.0,0.0
3,6,Irritant,1.0,0.0
1,7,Irritant,1.0,0.0
2,7,Irritant,1.0,0.0
3,7,Irritant,1.0,0.0
1,8,Irritant,1.0,0.0
2,8,Irritant,1.0,0.0
3,8,Irritant,1.0,0.0
1,9,Irritant,1.0,0.0
2,9,Irritant,1.0,0.0
3,9,Irritant,1.0,0.0
1,10,Irritant,1.0,0.0
2,10,Irritant,1.0,0.0
3,10,Irritant,1.0,0.0
1,11,Irritant,1.0,0.0
2,11,Irritant,1.0,0.0
3,11,Irritant,1.0,0.0
1,12,Irritant,1.0,0.0
2,12,Irritant,1.0,0.0
3,12,Irritant,1.0,0.0
1,13,Irritant,1.0,0.0
2,13,Irritant,1.0,0.0
3,13,Irritant,1.0,0.0
1,14,Irritant,1.0,0.0
2,14,Irritant,1.0,0.0
3,14,Irritant,1.0,0.0
1,15,Irritant,1.0,0.0
2,15,Irritant,1.0,0.0
3,15,Irritant,1.0,0.0
1,16,Irritant,1.0,0.0
2,16,Irritant,1.0,0.0
3,16,Irritant,1.0,0.0
1,17,Irritant,1.0,0.0
2,17,Irritant,1.0,0.0
3,17,Irritant,1.0,0.0
1,18,Irritant,1.0,0.0
2,18,Irritant,1.0,0.0
3,18,Irritant,1.0,0.0
1,19,Irritant,1.0,0.0
2,19,Irritant,1.0,0.0
3,19,Irritant,1.0,0.0
1,20,Irritant,1.0,0.0
2,20,Irritant,1.0,0.0
3,20,Irritant,1.0,0.0
1,21,Irritant,1.0,0.0
2,21,Irritant,1.0,0.0
3,21,Irritant,1.0,0.0
1,22,Irritant,1.0,0.0
2,22,Irritant,1.0,0.0
3,22,Irritant,1.0,0.0
1,23,Irritant,1.0,0.0
2,23,Irritant,1.0,0.0
3,23,Irritant,1.0,0.0
1,24,Irritant,1.0,0.0
2,24,Irritant,1.0,0.0
3,24,Irritant,1.0,0.0
1,25,Irritant,1.0,0.0
2,25,Irritant,1.0,0.0
3,25,Irritant,1.0,0.0
1,26,Irritant,1.0,0.0
2,26,Irritant,1.0,0.0
3,26,Irritant,1.0,0.0
1,27,Irritant,1.0,0.0
2,27,Irritant,1.0,0.0
3,27,Irritant,1.0,0.0
1,28,Irritant,1.0,0.0
2,28,Irritant,1.0,0.0
3,28,Irritant,1.0,0.0
1,29,Irritant,1.0,0.0
2,29,Irritant,1.0,0.0
3,29,Irritant,1.0,0.0
1,30,Irritant,1.0,0.0
2,30,Irritant,1.0,0.0
3,30,Irritant,1.0,0.0
1,31,Irritant,1.0,0.0
2,31,Irritant,1.0,0.0
3,31,Irritant,1.0,0.0
1,32,Irritant,1.0,0.0
2,32,Irritant,1.0,0.0
3,32,Irritant,1.0,0.0
1,33,Irritant,1.0,0.0
2,33,Irritant,1.0,0.0
3,33,Irritant,1.0,0.0
1,34,Irritant,1.0,0.0
2,34,Irritant,1.0,0.0
3,34,Irritant,1.0,0.0
1,35,Irritant,1.0,0.0
2,35,Irritant,1.0,0.0
3,35,Irritant,1.0,0.0
1,36,Irritant,1.0,0.0
2,36,Irritant,1.0,0.0
3,36,Irritant,1.0,0.0
1,37,Irritant,1.0,0.0
2,37,Irritant,1.0,0.0
3,37,Irritant,1.0,0.0
1,38,Irritant,1.0,0.0
2,38,Irritant,1.0,0.0
3,38,Irritant,1.0,0.0
1,39,Irritant,1.0,0.0
2,39,Irritant,1.0,0.0
3,39,Irritant,1.0,0.0
1,40,Irritant,1.0,0.0
2,40,Irritant,1.0,0.0
3,40,Irritant,1.0,0.0
1,41,Irritant,1.0,0.0
2,41,Irritant,1.0,0.0
3,41,Irritant,1.0,0.0
1,42,Irritant,1.0,0.0
2,42,Irritant,1.0,0.0
3,42,Irritant,1.0,0.0
1,43,Irritant,1.0,0.0
2,43,Irritant,1.0,0.0
3,43,Irritant,1.0,0.0
1,44,Irritant,1.0,0.0
2,44,Irritant,1.0,0.0
3,44,Irritant,1.0,0.0
1,45,Irritant,1.0,0.0
2,45,Irritant,1.0,0.0
3,45,Irritant,1.0,0.0
1,46,Irritant,1.0,0.0
2,46,Irritant,1.0,0.0
3,46,Irritant,1.0,0.0
1,47,Irritant,1.0,0.0
2,47,Irritant,1.0,0.0
3,47,Irritant,1.0,0.0
1,48,Irritant,1.0,0.0
2,48,Irritant,1.0,0.0
3,48,Irritant,1.0,0.0
1,49,Irritant,1.0,0.0
2,49,Irritant,1.0,0.0
3,49,Irritant,1.0,0.0
1,50,Irritant,1.0,0.0
2,50,Irritant,1.0,0.0
3,50,Irritant,1.0,0.0
