n,k,output,accuracy,f1score
1,1,corrosive,0.9965313583950501,0.9910950661853188
1,1,environmental_hazard,0.9997187587887878,0.9993041057759221
1,1,acute_toxic,1.0,1.0
1,1,health_hazard,1.0,1.0
1,1,flammable,0.9967188525358582,0.9917588886272664
1,2,corrosive,0.996250117183838,0.9906367041198502
1,2,environmental_hazard,0.9990625292959595,0.9976213130352045
1,2,acute_toxic,1.0,1.0
1,2,health_hazard,1.0,1.0
1,2,flammable,0.9974688290990906,0.9936515400893488
1,3,corrosive,0.9954997187324208,0.9887271019257867
1,3,environmental_hazard,0.9986874179636227,0.9967136150234742
1,3,acute_toxic,0.9999062441402587,0.999761620977354
1,3,health_hazard,1.0,1.0
1,3,flammable,0.9972810800675043,0.9931295901445155
2,1,corrosive,0.9967188525358582,0.9915274751876059
2,1,environmental_hazard,0.9994375175775757,0.998533724340176
2,1,acute_toxic,1.0,1.0
2,1,health_hazard,1.0,1.0
2,1,flammable,0.996250117183838,0.9907063197026023
2,2,corrosive,0.9969063466766663,0.9926355724168713
2,2,environmental_hazard,0.9990625292959595,0.9976547842401501
2,2,acute_toxic,1.0,1.0
2,2,health_hazard,1.0,1.0
2,2,flammable,0.9971875878878785,0.9928195308760173
2,3,corrosive,0.9958747421713857,0.9892315222711698
2,3,environmental_hazard,0.9985936621038815,0.9966086366719421
2,3,acute_toxic,1.0,1.0
2,3,health_hazard,1.0,1.0
2,3,flammable,0.9961560097506094,0.9903324687573686
3,1,corrosive,0.9973750820286866,0.9931972789115646
3,1,environmental_hazard,0.9986875410143433,0.9967012252591895
3,1,acute_toxic,1.0,1.0
3,1,health_hazard,1.0,1.0
3,1,flammable,0.9970938408174744,0.992862076905365
3,2,corrosive,0.9976563232398987,0.9940856399337592
3,2,environmental_hazard,0.9993437705071716,0.9983579638752053
3,2,acute_toxic,1.0,1.0
3,2,health_hazard,1.0,1.0
3,2,flammable,0.9976563232398987,0.9939452651973844
3,3,corrosive,0.9942808925557848,0.9859608745684695
3,3,environmental_hazard,0.9988749296831052,0.9971896955503513
3,3,acute_toxic,1.0,1.0
3,3,health_hazard,1.0,1.0
3,3,flammable,0.997187324207763,0.9929444967074318
4,1,corrosive,0.9949376581981813,0.9868995633187773
4,1,environmental_hazard,0.9984062998031311,0.9960047003525264
4,1,acute_toxic,1.0,1.0
4,1,health_hazard,1.0,1.0
4,1,flammable,0.9961563701134339,0.9901323706377858
4,2,corrosive,0.9955001406206057,0.9888631090487239
4,2,environmental_hazard,0.9987812880847473,0.9969661610268378
4,2,acute_toxic,1.0,1.0
4,2,health_hazard,1.0,1.0
4,2,flammable,0.9966251054654542,0.9914204003813155
4,3,corrosive,0.9969998124882805,0.9924599434495759
4,3,environmental_hazard,0.9996249765610351,0.9990552668871044
4,3,acute_toxic,1.0,1.0
4,3,health_hazard,1.0,1.0
4,3,flammable,0.998031126945434,0.9952021932830706
5,1,corrosive,0.9968125996062623,0.9919886899151744
5,1,environmental_hazard,0.9991562763663635,0.9978657813611572
5,1,acute_toxic,1.0,1.0
5,1,health_hazard,1.0,1.0
5,1,flammable,0.9975625761694947,0.9940119760479041
5,2,corrosive,0.9964376113246461,0.9911627906976744
5,2,environmental_hazard,0.9990625292959595,0.9976602714085167
5,2,acute_toxic,1.0,1.0
5,2,health_hazard,1.0,1.0
