n,k,output,accuracy,f1score
1,1,oxidizer,0.9153846153846154,0.8735632183908046
1,1,compressed_gas,0.9076923076923077,0.875
1,1,explosive,0.9461538461538461,0.9090909090909091
1,2,oxidizer,0.9384615384615385,0.9130434782608695
1,2,compressed_gas,0.9538461538461539,0.9318181818181818
1,2,explosive,0.9769230769230769,0.961038961038961
1,3,oxidizer,0.9615384615384616,0.935064935064935
1,3,compressed_gas,0.9461538461538461,0.9156626506024096
1,3,explosive,0.9846153846153847,0.9795918367346939
2,1,oxidizer,0.9538461538461539,0.9210526315789473
2,1,compressed_gas,0.9307692307692308,0.9108910891089109
2,1,explosive,0.9692307692307692,0.95
2,2,oxidizer,0.9461538461538461,0.9247311827956989
2,2,compressed_gas,0.9307692307692308,0.8941176470588236
2,2,explosive,0.9846153846153847,0.975609756097561
2,3,oxidizer,0.9384615384615385,0.9024390243902439
2,3,compressed_gas,0.9384615384615385,0.9047619047619048
2,3,explosive,0.9461538461538461,0.9230769230769231
3,1,oxidizer,0.9384615384615385,0.9047619047619048
3,1,compressed_gas,0.9384615384615385,0.9245283018867925
3,1,explosive,0.9769230769230769,0.9565217391304348
3,2,oxidizer,0.9461538461538461,0.9213483146067416
3,2,compressed_gas,0.9692307692307692,0.9523809523809523
3,2,explosive,0.9230769230769231,0.8809523809523809
3,3,oxidizer,0.9692307692307692,0.95
3,3,compressed_gas,0.9461538461538461,0.9135802469135802
3,3,explosive,0.9692307692307692,0.9591836734693877
4,1,oxidizer,0.9384615384615385,0.9069767441860465
4,1,compressed_gas,0.9461538461538461,0.9213483146067416
4,1,explosive,0.9538461538461539,0.926829268292683
4,2,oxidizer,0.9538461538461539,0.9210526315789473
4,2,compressed_gas,0.9461538461538461,0.9230769230769231
4,2,explosive,0.9692307692307692,0.9565217391304348
4,3,oxidizer,0.9,0.8539325842696629
4,3,compressed_gas,0.8923076923076924,0.8444444444444444
4,3,explosive,0.9538461538461539,0.925
5,1,oxidizer,0.9615384615384616,0.946236559139785
5,1,compressed_gas,0.9384615384615385,0.9166666666666666
5,1,explosive,1.0,1.0
5,2,oxidizer,0.9769230769230769,0.958904109589041
5,2,compressed_gas,0.9384615384615385,0.9069767441860465
5,2,explosive,0.9384615384615385,0.9130434782608695
5,3,oxidizer,0.9538461538461539,0.9333333333333333
5,3,compressed_gas,0.9692307692307692,0.9512195121951219
5,3,explosive,0.9692307692307692,0.9545454545454546
6,1,oxidizer,0.9307692307692308,0.8860759493670886
6,1,compressed_gas,0.9230769230769231,0.8913043478260869
6,1,explosive,0.9692307692307692,0.9534883720930233
6,2,oxidizer,0.9461538461538461,0.9213483146067416
6,2,compressed_gas,0.9384615384615385,0.8947368421052632
6,2,explosive,0.9384615384615385,0.9130434782608695
6,3,oxidizer,0.9153846153846154,0.8735632183908046
6,3,compressed_gas,0.9,0.8686868686868687
6,3,explosive,0.9846153846153847,0.972972972972973
7,1,oxidizer,0.9538461538461539,0.9230769230769231
7,1,compressed_gas,0.9307692307692308,0.9052631578947369
7,1,explosive,0.9769230769230769,0.9647058823529412
7,2,oxidizer,0.9307692307692308,0.896551724137931
7,2,compressed_gas,0.9153846153846154,0.8735632183908046
7,2,explosive,0.9538461538461539,0.9285714285714286
7,3,oxidizer,0.9461538461538461,0.9195402298850575
7,3,compressed_gas,0.9384615384615385,0.9069767441860465
7,3,explosive,0.9769230769230769,0.9647058823529412
8,1,oxidizer,0.9461538461538461,0.9230769230769231
8,1,compressed_gas,0.9153846153846154,0.8932038834951457
8,1,explosive,0.9230769230769231,0.84375
8,2,oxidizer,0.9307692307692308,0.8860759493670886
8,2,compressed_gas,0.9384615384615385,0.8823529411764706
8,2,explosive,0.9692307692307692,0.9636363636363636
8,3,oxidizer,0.9461538461538461,0.9156626506024096
8,3,compressed_gas,0.9307692307692308,0.9052631578947369
