k,n,output,accuracy,f1score
1,1,Acute Toxic,0.9597223599405057,0.6060135790494665
1,1,Compressed Gas,0.9988894397620228,0.45098039215686275
1,1,Corrosive,0.9608527516113039,0.8411395461129889
1,1,Environmental Hazard,0.9427664848785324,0.39395212095758086
1,1,Explosive,0.998988596926128,0.0
1,1,Flammable,0.9747744174516609,0.6365714285714286
1,1,Health Hazard,0.9567873078829946,0.5448088573219135
1,1,Irritant,0.7647397124442241,0.839065022451942
1,1,Oxidizer,0.9986117997025286,0.2391304347826087
1,1,nan,0.833455627169063,0.49434007707129096
2,1,Acute Toxic,0.959225765508488,0.6071837982422621
2,1,Compressed Gas,0.9991273996509599,0.5686274509803921
2,1,Corrosive,0.9615659209900047,0.8411735781019505
2,1,Environmental Hazard,0.944153577661431,0.40034071550255534
2,1,Explosive,0.9991868951293035,0.08888888888888889
2,1,Flammable,0.9740004759638268,0.6355296080066722
2,1,Health Hazard,0.9568261145486276,0.5581489750355185
2,1,Irritant,0.7691178803744249,0.8420267042987408
2,1,Oxidizer,0.9985919403458671,0.23655913978494625
2,1,nan,0.835197524988101,0.49770309477756286
3,1,Acute Toxic,0.958432492463906,0.5983135300881564
3,1,Compressed Gas,0.9991472314770744,0.5473684210526316
3,1,Corrosive,0.9613874345549738,0.8447244596857804
3,1,Environmental Hazard,0.9437767729652546,0.3864964293442978
3,1,Explosive,0.9991273996509599,0.043478260869565216
3,1,Flammable,0.9731675392670157,0.6242710358233824
3,1,Health Hazard,0.9573020783753768,0.5556243550051599
3,1,Irritant,0.7696731715056322,0.8425817994524113
3,1,Oxidizer,0.9986910994764397,0.3125
3,1,nan,0.8383111216880851,0.5066263237518911
1,2,Acute Toxic,0.9583539910758553,0.6025738077214232
1,2,Compressed Gas,0.999087754090233,0.41025641025641024
1,2,Corrosive,0.9602379771938523,0.8395614947587421
1,2,Environmental Hazard,0.9426078334159643,0.3727785002167317
1,2,Explosive,0.9992067426871591,0.09090909090909091
1,2,Flammable,0.9735845314823997,0.6176808266360505
1,2,Health Hazard,0.9565096678235002,0.5441696113074205
1,2,Irritant,0.7657907783837382,0.8397775064441731
1,2,Oxidizer,0.9989291026276649,0.41304347826086957
1,2,nan,0.8361328705999008,0.499242470153324
2,2,Acute Toxic,0.9582540060288751,0.5922913035057137
2,2,Compressed Gas,0.9989092495636999,0.5132743362831859
2,2,Corrosive,0.9609511343804538,0.8404505307511547
2,2,Environmental Hazard,0.9435387910518801,0.3989867004433186
2,2,Explosive,0.9991273996509599,0.043478260869565216
2,2,Flammable,0.9742186260510868,0.6410822749861955
2,2,Health Hazard,0.9561320006346185,0.5444810543657331
2,2,Irritant,0.767749484372521,0.8416169648774022
2,2,Oxidizer,0.9988100904331271,0.3023255813953488
2,2,nan,0.8346422338568935,0.4976503193155802
3,2,Acute Toxic,0.9599793749008408,0.6108754338603933
3,2,Compressed Gas,0.9991868951293035,0.594059405940594
3,2,Corrosive,0.9613676027288592,0.8415487229542866
3,2,Environmental Hazard,0.9431818181818182,0.3855886768174995
3,2,Explosive,0.9990480723465016,0.04
3,2,Flammable,0.9743971124861177,0.6450371185042617
3,2,Health Hazard,0.9574607329842932,0.5628693702873446
3,2,Irritant,0.7691773758527686,0.8420909818606103
3,2,Oxidizer,0.9983539584324924,0.23853211009174313
3,2,nan,0.8365659209900047,0.5046582917593316
1,3,Acute Toxic,0.959008428358949,0.5987186953989516
1,3,Compressed Gas,0.9989687654933069,0.48
1,3,Corrosive,0.9609717402082301,0.8413159167876149
1,3,Environmental Hazard,0.9447496281606346,0.396969696969697
1,3,Explosive,0.9991670798215171,0.08695652173913043
1,3,Flammable,0.9738820029747149,0.6251067463706234
1,3,Health Hazard,0.9564898363906792,0.548745372274784
1,3,Irritant,0.7712840852751611,0.8434228925967661
1,3,Oxidizer,0.9985721368368865,0.3684210526315789
1,3,nan,0.8361527020327219,0.5046762589928058
2,3,Acute Toxic,0.9578375376804696,0.5863813229571985
2,3,Compressed Gas,0.9991075678248453,0.5454545454545454
2,3,Corrosive,0.9600190385530699,0.8349164755977727
2,3,Environmental Hazard,0.942924004442329,0.40091590341382183
2,3,Explosive,0.9991472314770744,0.044444444444444446
2,3,Flammable,0.973683166745994,0.6277699859747545
2,3,Health Hazard,0.9558543550690147,0.5473769825132168
2,3,Irritant,0.7668768840234809,0.8410003922576457
2,3,Oxidizer,0.9987109313025544,0.2857142857142857
2,3,nan,0.8341662700301444,0.4896240234375
3,3,Acute Toxic,0.957996192289386,0.5979498861047836
3,3,Compressed Gas,0.9990877359987308,0.5490196078431373
3,3,Corrosive,0.9611891162938283,0.8439269479224819
3,3,Environmental Hazard,0.9436776138346818,0.3990689801100296
3,3,Explosive,0.9991472314770744,0.1568627450980392
3,3,Flammable,0.9733460257020466,0.6347826086956522
3,3,Health Hazard,0.9555568776772966,0.5414364640883977
3,3,Irritant,0.7669562113279391,0.8402419957854667
3,3,Oxidizer,0.9988497540853561,0.30952380952380953
3,3,nan,0.8360106298587974,0.5026763697600288
1,4,Acute Toxic,0.9588101140307387,0.5991121405134144
